Log do Sistema de Sistrom-EDI Proceda - v.1.0.9

18/02/2022 12:04:32| Usuário: Sistema              | Processo: TAPPDATA:APPREGISTRY  | Linha:  156 | Sistrom-EDI Proceda 1.0.9 (32-bit) - Sistema iniciado
18/02/2022 12:04:45| Usuário: Sistema              | Processo: TURNOFF               | Linha:  291 | Sistema encerrou a execução
21/02/2022 20:17:32| Usuário: Sistema              | Processo: TAPPDATA:APPREGISTRY  | Linha:  156 | Sistrom-EDI Proceda 1.1.0 (32-bit) - Sistema iniciado
21/02/2022 20:18:04| Usuário: Jimmy                | Processo: MAIN_FORM_ON_INIT     | Linha:  213 | Usuario logado: Jimmy
21/02/2022 20:47:42| Usuário: Jimmy                | Processo: TURNOFF               | Linha:  289 | Sistema encerrado pelo usuário
22/02/2022 15:35:47| Usuário: Sistema              | Processo: TAPPDATA:APPREGISTRY  | Linha:  156 | Sistrom-EDI Proceda 1.1.0 (32-bit) - Sistema iniciado
22/02/2022 15:36:12| Usuário: Jimmy                | Processo: MAIN_FORM_ON_INIT     | Linha:  213 | Usuario logado: Jimmy
22/02/2022 16:22:59| Usuário: Jimmy                | Processo: TURNOFF               | Linha:  289 | Sistema encerrado pelo usuário
22/02/2022 16:23:37| Usuário: Sistema              | Processo: TAPPDATA:APPREGISTRY  | Linha:  156 | Sistrom-EDI Proceda 1.1.0 (32-bit) - Sistema iniciado
22/02/2022 16:23:40| Usuário: Jimmy                | Processo: MAIN_FORM_ON_INIT     | Linha:  213 | Usuario logado: Jimmy
22/02/2022 16:25:24| Usuário: Jimmy                | Processo: TURNOFF               | Linha:  289 | Sistema encerrado pelo usuário
22/02/2022 17:04:02| Usuário: Sistema              | Processo: TAPPDATA:APPREGISTRY  | Linha:  156 | Sistrom-EDI Proceda 1.1.0 (32-bit) - Sistema iniciado
22/02/2022 17:04:04| Usuário: Jimmy                | Processo: MAIN_FORM_ON_INIT     | Linha:  213 | Usuario logado: Jimmy
22/02/2022 17:05:34| Usuário: Jimmy                | Processo: TGEDFTP:UPLOAD        | Linha:   46 | Iniciando upload de arquivo: C:\Users\nilto\OneDrive\Desenvolvimento\Projetos\harbour\apoio_tms\sistrom-edi\edi\59609123002463\OCOR0222_003.txt
22/02/2022 17:05:34| Usuário: Jimmy                | Processo: TGEDFTP:UPLOAD        | Linha:   63 | Upload de arquivo concluído com sucesso
22/02/2022 17:05:38| Usuário: Jimmy                | Processo: TURNOFF               | Linha:  289 | Sistema encerrado pelo usuário
23/02/2022 10:54:46| Usuário: Sistema              | Processo: TAPPDATA:APPREGISTRY  | Linha:  156 | Sistrom-EDI Proceda 1.1.0 (32-bit) - Sistema iniciado
23/02/2022 10:54:59| Usuário: Jimmy                | Processo: MAIN_FORM_ON_INIT     | Linha:  213 | Usuario logado: Jimmy
23/02/2022 10:56:04| Usuário: Jimmy                | Processo: TGEDFTP:UPLOAD        | Linha:   46 | Iniciando upload de arquivo: C:\Users\nilto\OneDrive\Desenvolvimento\Projetos\harbour\apoio_tms\sistrom-edi\edi\59609123002463\OCOR0223_001.txt
23/02/2022 10:56:05| Usuário: Jimmy                | Processo: TGEDFTP:UPLOAD        | Linha:   63 | Upload de arquivo concluído com sucesso
23/02/2022 10:56:08| Usuário: Jimmy                | Processo: TURNOFF               | Linha:  289 | Sistema encerrado pelo usuário
